Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low
BAHL,171,170.95,178.06,48.78,-0.3199,-0.2737,596909,180.43,112.91,48.96,0.6276,-1.6963,3925579,230.01,144.9
INDU,1925.64,2002.55,2014.16,37.94,0.1606,-27.6921,5961,2049.7,1597.28,43.79,-8.7377,-7.0895,138864,2430,1695
ILP,104.82,94.49,83.55,59.62,-0.227,2.0018,1648273,82.42,61.16,66.65,1.7257,4.471,4216183,110.5,67.4
GLAXO,345.65,357.5,377.34,41.18,-1.3375,-3.3202,50997,384.27,232.6,44.67,0.9298,-7.2333,707039,459.94,293.09
BOP,33.49,34.57,34.68,44.53,-0.0877,-0.3549,7337381,32.9,13.04,50.14,-0.2766,0.9506,76044396,44.17,13.61
LCI,227.09,231.32,262.01,44.18,-0.5249,-1.5474,19480,271.71,204.81,39.52,2.1373,-12.3931,212853,377.88,201.17
ATRL,968.1,898.64,796.67,64.18,5.9476,13.8125,274748,784.08,470.34,65.36,-0.7233,39.3769,4303536,1005,597.1
DGKC,207.31,207.65,209.43,47.67,-0.8,-0.5875,4286791,213.32,114.23,51.66,1.8629,0.8037,34905663,275.75,145.1
NATF,385.57,379.04,382.29,50.99,-1.2026,1.1691,55413,379.77,216.72,52.7,1.1393,2.6749,335210,439,322.31
ABOT,917.23,929.18,1021.94,42.42,-4.365,-2.9971,4861,1046.21,762.89,44.27,8.7687,-33.8678,48217,1304,821
HALEON,752.7,774.48,818.35,40.65,-1.3802,-7.2914,14690,829.01,492.45,44.55,0.9664,-15.4571,80129,1010,655
RMPL,9255.27,9493.81,9561.95,38.46,-8.0469,-68.5994,7,9605.13,8933.1,42.96,-21.8867,-38.4438,332,13565.64,8500
APL,533.66,542.11,554.9,42.43,-0.8451,-1.9648,32852,551.16,426.67,45.43,-2.8782,-1.3334,132740,646,485
AHCL,15.5,15.17,15.5,54.28,0.0044,-0.0677,3184961,15.33,7.77,53.08,0.0617,0.0597,8739292,19.33,12.16
CHCC,316.63,307.95,307.8,51.6,-0.7373,-0.0828,516783,315.59,212.45,53.71,3.5838,0.6811,1191129,390,225
JVDC,143.13,143.91,116.73,46.99,-0.4128,-0.1017,469481,113.06,63.46,56.27,-0.7775,10.4652,2424819,163.9,65.15
JDWS,907.53,930.35,876.5,38.03,-5.8224,1.6166,343,880.73,611.64,50.65,1.1415,14.4143,19120,1019.98,780
HINOON,983.46,984.32,1006.51,48.59,-1.7024,-1.064,3109,1030.59,718.83,49.8,5.5134,-7.2839,72050,1241,755.56
THALL,584.32,609.19,597.76,38.35,-0.1025,-8.5806,29751,598.95,388.19,44.61,-8.5656,9.1967,42860,730,440
LOTCHEM,26.97,28.59,27.08,38.04,-0.3774,-0.0796,2303644,26.85,23.54,48.99,-0.0726,0.7396,21987876,34.3,18.41
HPL,4010.71,4016.61,4141.16,47.41,-4.1079,5.5983,65,4116.08,,48.21,-1.4136,-11.1332,1742,4889.99,2925.66
BOK,32.06,32.96,34.17,42.41,-0.0474,-0.1886,3588,33.31,17.9,45.19,-0.303,0.1985,51697,45.9,16.52
ISL,84.89,84.97,90.98,47.94,-0.1043,-0.4136,322510,95.05,73.58,48.65,1.0788,-2.5212,1686608,135,65.45
HCAR,241.29,246.99,240.76,49.35,0.3981,-1.3796,723576,248.61,225.71,52.12,3.1744,-0.9351,8476091,318,147.5
GAL,589.19,529.36,500.16,58.19,-2.2275,17.1387,373069,512.89,264.4,62.43,17.4401,11.5939,3882958,633,291
TGL,188.67,186.12,190.5,48.7,-0.994,0.8431,52527,201.2,137.53,51.49,3.5278,-3.4756,543110,291.5,128
ACPL,230.62,227.75,261.34,54.48,1.2145,-0.5102,40193,265.55,165.64,42.65,0.6597,-12.2704,494879,325.01,205
BIPL,27,26.62,29.39,48.58,-0.0774,0.111,533150,30.53,22.69,47.22,0.3431,-0.9846,1739786,44.1,23.6
